text,created_at,source,id,author_id,,,,
@foodpanda_my @GrabMY @DeliveryEat,2021-08-31T13:33:22.000Z,Twitter for Android,1.4327E+18,1259970469,,,,
https://t.co/VLMoWQT2JV https://t.co/JvuPVE5loS,2021-08-31T13:27:51.000Z,Twitter for iPhone,1.4327E+18,1.26079E+18,,,,
"@GrabMY Thank you for the reply! I hope one day, Grab Wallet will have a withdrawal option. Thank you again ☺️",2021-08-31T13:22:23.000Z,Twitter for iPhone,1.4327E+18,1.26079E+18,,,,
"Hi @GrabMY, duit dalam wallet tu tak boleh withdraw ke? Nak transfer ke bank balik 😓",2021-08-31T13:17:00.000Z,Twitter for iPhone,1.43269E+18,1.26079E+18,,,,
@GrabMY Oki tqqq,2021-08-31T12:38:41.000Z,Twitter for iPhone,1.43268E+18,246879583,,,,
"RT @imorangdigital: Dedicated to all the Grab riders out there making our lives better during this pandemic. 
Check it out at https://t.co…",2021-08-31T12:31:57.000Z,Twitter for iPhone,1.43268E+18,446886437,,,,
@GrabMY passenger fully vaksin kena naik 1 lgi ke?,2021-08-31T12:30:36.000Z,Twitter for iPhone,1.43268E+18,246879583,,,,
@GrabMY Sekali order bukannya sikit. Tapi tula.. nak cancel tukar menu pun susah https://t.co/nX8J1oQzFj,2021-08-31T12:04:19.000Z,Twitter for iPhone,1.43268E+18,920179980,,,,
Reordering it again thru grabfood. I've always prefer to use this app as it is very convenient and user friendly! Never encounter such problems since day1 @GrabMY https://t.co/720ljtiqBi,2021-08-31T12:02:10.000Z,Twitter for iPhone,1.43268E+18,1.24027E+18,,,,
@GrabMY Option chat tu muncul bila kedai dah preparing order &amp; driver dah ambil job. Alasan “your food is already prepared” &amp; “we can’t cancel your order”.,2021-08-31T12:02:03.000Z,Twitter for iPhone,1.43268E+18,920179980,,,,
Fuyoo Grab thank you🤩 https://t.co/fmSkgpM73o,2021-08-31T11:55:18.000Z,Twitter for Android,1.43267E+18,3117158082,,,,
Satu je aku slack dgn grab food @GrabMY. Kenapa takda option cancel? Aku nak ubah order pun susah. Jimbit,2021-08-31T11:48:16.000Z,Twitter for iPhone,1.43267E+18,920179980,,,,
@GrabMY sure.,2021-08-31T10:36:15.000Z,Twitter for iPhone,1.43265E+18,395680959,,,,
Do better. I am extremely disappointed by this. @GrabMY @KFCmalaysia,2021-08-31T10:27:18.000Z,Twitter for iPhone,1.43265E+18,395680959,,,,
"After sending my report on the app &amp; also thru email, I only received a refund for 1 pax only. Wht could’ve been a great evening w my parents has turned into a gloomy situation. We waited patiently just to receive this kind of service. Expected better from @GrabMY &amp; @KFCmalaysia",2021-08-31T10:26:40.000Z,Twitter for iPhone,1.43265E+18,395680959,,,,
"Ordered 3 pax of 3-pc Extra Hot &amp; Spicy Combo from KFC Kota Sentosa Kuching, and I ended up getting only 1 pax. The driver didn’t even bother to ask the staff nor did he even check my order at all, I’m assuming because he was totally clueless when I asked him abt it. @GrabMY",2021-08-31T10:24:05.000Z,Twitter for iPhone,1.43265E+18,395680959,,,,
"@waiefaiz Insya Allah abang2 hijau kita ok sebab leh tambah2 rezeki hari ni..cuma expect delay sket  sebab mereka kena hati2 waktu ride, jalan licin &amp; pandangan kabur. Guna GrabChat je untuk contact dengan rider. Terima kasih tau support abang2 hijau kita! 💚 https://t.co/4bd8QqjiPF",2021-08-31T09:42:58.000Z,Sprinklr Publishing,1.43264E+18,454609037,,,,
@GrabMY can this promo be used multiple times per user? https://t.co/FUQIiLoEDA,2021-08-31T09:30:53.000Z,Twitter for Android,1.43264E+18,369292274,,,,
"Hello @GrabMY. How come this driver used a wrong location from the location I pinned in the app, then he overcharged me extra when it's his fault? Why did't he ask me to do a nee booking, and instead charged me an extra RM10? https://t.co/XqkljQ9RV6",2021-08-31T08:29:02.000Z,Twitter for Android,1.43262E+18,159065910,,,,
@GrabMY I ordered coffee and pandan burnt cheesecake tapi the cake takde. Dah submit report tadi now status on-going 😬,2021-08-31T07:49:21.000Z,Twitter for iPhone,1.43261E+18,249986584,,,,
Okay this is the only @ZusCoffee that i like. Iced spanish latte. Newbies i sarankan kalau nak try choose this one first. If kena dgn tekak baru try other flavours tu. Btw pandan burnt cheesecake dorg the bomb. Tapi tadi dah preorder pakai @GrabMY tiber sampai kedai OOS pulak 😭 https://t.co/ibx8FoEjST,2021-08-31T07:43:08.000Z,Twitter for iPhone,1.43261E+18,249986584,,,,
@GrabMY Still cannot… log in log out restart phone delete resintall all cannot,2021-08-31T07:33:55.000Z,Twitter for iPhone,1.43261E+18,7761342,,,,
@GrabMY Log out log in no… restart phone saja… let me try… cook maggi dulu,2021-08-31T07:18:22.000Z,Twitter for iPhone,1.4326E+18,7761342,,,,
@GrabMY I can’t top up can’t auto top up can’t remove card… what is going on? Need help now… no Grabpay can die WOI!!! https://t.co/ZGIfPOUB3J,2021-08-31T07:09:13.000Z,Twitter for iPhone,1.4326E+18,7761342,,,,
"BAIK NANTI SAYA GUNA CODE SAYA, SAYA AKAN TAG GRAB DI INSTAGRAM YA 😭😭🥺🤍 @GrabMY https://t.co/YLriu5mfg2",2021-08-31T06:57:28.000Z,Twitter for Android,1.4326E+18,1.41606E+18,,,,
@GrabMY Okay awak 🌷🤍,2021-08-31T06:38:19.000Z,Twitter for Android,1.43259E+18,1.41606E+18,,,,
@GrabMY Klau saya pm awk palau siap awak 😃,2021-08-31T06:33:32.000Z,Twitter for Android,1.43259E+18,1.41606E+18,,,,
@GrabMY Terima kasih 😉👍🏻 selamat menyambut merdeka juga. Kalau awak nk belanja saya apa2 jgnlah segan pm saya 😉👍🏻,2021-08-31T06:28:17.000Z,Twitter for Android,1.43259E+18,1.41606E+18,,,,
@GrabMY Okayy thank youu,2021-08-31T06:25:57.000Z,Twitter for Android,1.43259E+18,1.35711E+18,,,,
"@Fluffyyyryry @GrabMY Selamat Hari Kemerdekaan, Malaysia! 🇲🇾",2021-08-31T06:18:58.000Z,Twitter Web App,1.43259E+18,968250860,,,,
Bagus sungguh semua orang menggunakan bahasa kebangsaan Malaysia pada hari ini termasuklah @GrabMY 😉👍🏻 https://t.co/FITAoShIFj,2021-08-31T06:18:40.000Z,Twitter for Android,1.43259E+18,1.41606E+18,,,,
"RT @mazgres: @Dennysiregar7 😁🤣
Main g*ro* aja ... dia. 
 @KemnakerRI @Musimmas_Group @ciputracibubur @gojekindonesia @GrabMY @HumanResourc…",2021-08-31T05:41:04.000Z,Twitter for iPhone,1.43258E+18,7.84318E+17,,,,
@GrabMY Kay grab tq! Selamat hari merdeka,2021-08-31T04:49:06.000Z,Twitter for iPhone,1.43257E+18,1.00406E+18,,,,
Hi @GrabMY how many passengers are allowed in grab rides? Assuming the passengers are fully-vaccinated and had passed the waiting days before dining out,2021-08-31T04:38:32.000Z,Twitter for iPhone,1.43256E+18,406165450,,,,
"@Dennysiregar7 😁🤣
 @KemnakerRI @Musimmas_Group @ciputracibubur @gojekindonesia @GrabMY @HumanResources5 @JobsDBIndonesia @jobstreet @LinkedIn",2021-08-31T04:37:59.000Z,Twitter for Android,1.43256E+18,1.13648E+18,,,,
"Check it out at https://t.co…""",2021-08-31T04:33:03.000Z,Twitter for iPhone,1.43256E+18,1.36816E+18,,,,
"@GrabMY hi, guna grabpay later memang tak dapat point ke? Walaupun nanti dah habis bayar.",2021-08-31T04:32:55.000Z,Twitter for Android,1.43256E+18,1.35711E+18,,,,
"Check it out at https://t.co…""",2021-08-31T04:21:13.000Z,Twitter for Android,1.43256E+18,175316345,,,,
"Check it out at https://t.co…""",2021-08-31T04:19:50.000Z,Twitter Web App,1.43256E+18,1.37091E+18,,,,
"Dedicated to all the Grab riders out there making our lives better during this pandemic. 
Check it out at https://t.co/EpDD6Mt19Q
@MalaysiaNft @pentas_io #NFTCommunity @GrabMY https://t.co/M7UYa4KIHZ",2021-08-31T04:19:15.000Z,Twitter Web App,1.43256E+18,1.43011E+18,,,,
"Woi fucker @foodpanda_my ! Almost 1 month punya sales tak masuk lagi! Kalau sales sehari 4k-5k mati macam mana nak rolling duit sial. Guys , please dont use foodpanda. Use @GrabMY lagi bagus.",2021-08-31T04:00:20.000Z,Twitter for iPhone,1.43255E+18,280978362,,,,
Teruk jugak la grabmart ni. Kalau bukan keluar ikut urutan. Keluar ikut “weh buat aku punya dulu la” baik tak payah buat no. @GrabMY,2021-08-31T03:58:25.000Z,Twitter for iPhone,1.43255E+18,1.00406E+18,,,,
"10 mins power nap, and I woke up to my favourite iced mocha from San Francisco Coffee, delivery via @GrabMY today is the last day to use HOTDEALSGF code ya’all!",2021-08-31T03:26:24.000Z,Twitter for iPad,1.43255E+18,357340885,,,,
@Grabmy_Jazz Yes they did. My friend house flood,2021-08-31T03:06:29.000Z,Twitter for iPhone,1.43254E+18,1.14583E+18,,,,
"hello @GrabMY, kenapa tak boleh nak guna payment method link bank acc @ credit/debit card?!!",2021-08-31T02:20:09.000Z,Twitter for iPhone,1.43253E+18,1.03985E+18,,,,
@GrabMY Okay thanks! 👍🏻,2021-08-31T02:19:10.000Z,Twitter for iPhone,1.43253E+18,322446225,,,,
@GrabMY hai nk tanya skrg ni naik grab dah boleh 2 passengers ke?,2021-08-31T02:12:24.000Z,Twitter for iPhone,1.43253E+18,322446225,,,,
"RT @GrabMY: @aedilah Hi Darlina, harap yang ni membantu. ✌💚 https://t.co/kvKqSLLWaG",2021-08-31T02:09:49.000Z,Twitter for Android,1.43253E+18,561170576,,,,
"Yang duduk PETALING JAYA dan mengidam nasi ayam kicap sambal power chill je, sekarang boleh KEATCHEN. 🔍 TIGA BUDAK GEMOK KEATCHEN dekat @foodpanda_my @GrabMY dan EASI. 
#pastikanoribarubeli https://t.co/PS8soHgz97",2021-08-31T01:42:42.000Z,Twitter for iPhone,1.43252E+18,1.24015E+18,,,,
@GrabMY Thank you!!!!,2021-08-30T15:42:09.000Z,Twitter for Android,1.43237E+18,1.25499E+18,,,,
Thanks Grab for your service! ✨🌷 https://t.co/hyGjv0Ic6A,2021-08-30T15:23:20.000Z,Twitter for iPhone,1.43236E+18,1964710560,,,,
@GrabMY @kentangjerawat Is this operating hour still valid? Sarawak cities: 24 hours,2021-08-30T12:54:05.000Z,Twitter Web App,1.43233E+18,8.66289E+17,,,,
@GrabMY Terima kasih  😊😊..tgh tunggu update grab je utk kapasiti penumpang baru blh kerja😊,2021-08-30T12:39:19.000Z,Twitter Web App,1.43232E+18,2313460580,,,,
already not rich lagi ada deduction dari @GrabMY no idea for what.. Why la why dell me,2021-08-30T12:20:28.000Z,Twitter Web App,1.43232E+18,504528013,,,,
"@GrabID @miund Gambar 1 ada 6
Gmbar 2 ada 3
Gambar 3 ada 2
Gambar 4 ada 1
Semua ada 12
Iya gak @GrabMY @GrabSG @grabph @GrabVN @GrabTH 
#PahlawanWarga ok @GrabID",2021-08-30T12:19:51.000Z,Twitter for Android,1.43232E+18,238576617,,,,
@GrabMY Im not asking for a refund for unused amounts but I should be able to use the full value at different restaurants since I paid 80. You shd not force me to use it in one single order. Mistake we made choosing this to reward our team.,2021-08-30T11:38:36.000Z,Twitter for iPhone,1.43231E+18,1.38915E+18,,,,
@GrabMY Ok thanks,2021-08-30T10:13:23.000Z,Twitter for iPhone,1.43229E+18,138144386,,,,
@GrabMY Purchased rm80 grab food gift vouchers  but realised that u have to use full amount in a single order. If u use less you cant use the balance for a different order. Money is burned.  Not a full value of Rm80 then even though u paid rm80 to Grab.,2021-08-30T09:50:22.000Z,Twitter for iPhone,1.43228E+18,1.38915E+18,,,,
@GrabMY My favourite thing about GrabMart is the convenience it brings me. I can get almost anything I want without having to step foot outside my house. @JanJanRachy @Dachelrinaa,2021-08-30T09:42:19.000Z,Twitter for Android,1.43228E+18,215314798,,,,
"@GrabMY my order was cancelled and money was deducted from my credit card. Called the merchant, they said the refund will be returned by grab. Please assist",2021-08-30T09:36:45.000Z,Twitter for iPhone,1.43228E+18,138144386,,,,
"@GrabMY I love GrabMart because its easy, convenient and safe during this Covid 19 Pandemic. Love it @SilamSiva @RachelG28164235 ❤️",2021-08-30T08:45:01.000Z,Twitter for iPhone,1.43226E+18,1629333146,,,,
"@GrabMY I love grabmart because it eases my life! due to pandemic, Im unable to go out for grocery shopping. Grabmart saves my life by providing grocery shopping as well as food deliveries. Tak sabar nak grocer shopping esok for merdeka! Thanks @GrabMY ! 
@SyarizN @SergioSV96",2021-08-30T08:33:23.000Z,Twitter for iPhone,1.43226E+18,1.40845E+18,,,,
"Thanks @GrabMY for saving my time! Order grabfood, jimat masa x yah masak!",2021-08-30T08:21:50.000Z,Twitter for iPhone,1.43226E+18,1.40845E+18,,,,
"#Malaysian #entrepreneurs TanHooiLing &amp; AnthonyTan, co-founders ride-hailing #company @GrabMY &amp; GrabFood. Won USD25K in HBS New Venture Competition 2011, with the sum won, both has started the #ride #hailing #business 1st called MyTeksi in 2012 #RaikanMalaysiaKita #TenagaNasional https://t.co/GkHL8UEmF8",2021-08-30T08:03:08.000Z,Twitter for Android,1.43225E+18,9.2788E+17,,,,
"@swaggyuser666 HAHAHAHHAHAHAHAHA apa susah, @GrabMY kan ada !",2021-08-30T07:54:11.000Z,Twitter for iPhone,1.43225E+18,1.40549E+18,,,,
@GrabMY nak kasi rider main cash ke kalau macamni kesnya ? Maju fighter @HakimiMirza @NashiruddinMuhd @HazimNorman @syazriqshahrum @shahirannn_ @iqbalfarris https://t.co/Zjy2JVuHa7,2021-08-30T07:18:02.000Z,Twitter for Android,1.43E+18,407482852,,,,
@GrabMY Nasi goreng ikan masin min suka tak ? 😁😁😁😁,2021-08-30T06:30:55.000Z,Twitter for Android,1.43E+18,1.42E+18,,,,
"From the Digest: Employers repeatedly rejected Muhammad Sidek Osman for full-time roles due to his #disability, leaving him with little other option than to become a self-employed rider with @GrabMY. But when on his bike, Sidek becomes a different man
https://t.co/5FSzFTrUZM",2021-08-30T06:00:32.000Z,Hootsuite Inc.,1.43E+18,74121455,,,,
why cant i use cashless payment method? @GrabMY ?,2021-08-30T05:54:25.000Z,Twitter for iPhone,1.43E+18,1.22E+18,,,,
Worst experience. Hari ni tunggu @GrabMY car 1 jam !!. Gila !!,2021-08-30T05:51:54.000Z,Twitter for Android,1.43E+18,1388944322,,,,
@GrabMY please reply back to me asap still waiting for your reply,2021-08-30T05:46:40.000Z,Twitter for iPhone,1.43E+18,1738446733,,,,
@GrabMY hello can you please reply to my dm,2021-08-30T05:39:39.000Z,Twitter for iPhone,1.43E+18,1738446733,,,,
@GrabMY Hi can i know how many passsenger do driver take in this pkp?,2021-08-30T05:27:11.000Z,Twitter for Android,1.43E+18,1100860344,,,,
"@GrabMY Sebab grabmart memudahkan urusan saya semasa saya kuarantin dec 2020, saya urgent nak beli cable android. Terimakasih grab! Memudahkan urusan semua 😍 @aninahmad12 @nrsyaa__",2021-08-30T05:24:27.000Z,Twitter for Android,1.43E+18,1100860344,,,,
